anio,provincia,sexo,grupo_edad,poblacion
2021,zamora,Hombre,15-19,5860
2021,zamora,Hombre,20-29,10903
2021,zamora,Hombre,30-44,10778
2021,zamora,Hombre,45-64,7906
2021,zamora,Hombre,65+,4102
2021,zamora,Mujer,0-14,17277
2021,zamora,Mujer,15-19,6002
2021,zamora,Mujer,20-29,11915
2021,zamora,Mujer,30-44,10906
2021,zamora,Mujer,45-64,6672
2021,zamora,Mujer,65+,3710
2022,azuay,Hombre,0-14,109602
2022,azuay,Hombre,15-19,35192
2022,azuay,Hombre,20-29,70029
2022,azuay,Hombre,30-44,88566
2022,azuay,Hombre,45-64,59940
2022,azuay,Hombre,65+,28122
2022,azuay,Mujer,0-14,105715
2022,azuay,Mujer,15-19,34896
2022,azuay,Mujer,20-29,70552
2022,azuay,Mujer,30-44,95477
2022,azuay,Mujer,45-64,81072
2022,azuay,Mujer,65+,47083
2022,bolivar,Hombre,0-14,28105
2022,bolivar,Hombre,15-19,10214
2022,bolivar,Hombre,20-29,17804
2022,bolivar,Hombre,30-44,19266
2022,bolivar,Hombre,45-64,15094
2022,bolivar,Hombre,65+,10667
2022,bolivar,Mujer,0-14,26779
2022,bolivar,Mujer,15-19,9734
2022,bolivar,Mujer,20-29,17487
2022,bolivar,Mujer,30-44,20245
2022,bolivar,Mujer,45-64,17859
2022,bolivar,Mujer,65+,12290
2022,carchi,Hombre,0-14,23210
2022,carchi,Hombre,15-19,7808
2022,carchi,Hombre,20-29,15593
2022,carchi,Hombre,30-44,19733
2022,carchi,Hombre,45-64,14563
2022,carchi,Hombre,65+,8259
2022,carchi,Mujer,0-14,22047
